datetime,CFFEX.IF1903.open,CFFEX.IF1903.high,CFFEX.IF1903.low,CFFEX.IF1903.close,CFFEX.IF1903.volume,CFFEX.IF1903.open_oi,CFFEX.IF1903.close_oi
2019-01-02 09:30:00.000000000,3009.0,3017.0,3009.0,3011.8,156,19753,19696
2019-01-02 09:31:00.000000000,3011.8,3012.6,3010.0,3011.2,72,19696,19696
2019-01-02 09:32:00.000000000,3011.2,3013.8,3010.2,3013.8,45,19696,19682
2019-01-02 09:33:00.000000000,3013.8,3014.0,3007.8,3008.4,75,19682,19685
2019-01-02 09:34:00.000000000,3008.4,3009.4,3007.0,3007.4,52,19685,19666
2019-01-02 09:35:00.000000000,3007.4,3008.8,3006.4,3007.2,15,19666,19665
2019-01-02 09:36:00.000000000,3007.2,3007.2,3004.8,3006.4,20,19665,19662
2019-01-02 09:37:00.000000000,3006.4,3007.6,3006.4,3006.8,15,19662,19659
2019-01-02 09:38:00.000000000,3006.8,3007.6,3004.4,3005.0,29,19659,19653
2019-01-02 09:39:00.000000000,3005.0,3005.0,3002.0,3002.6,50,19653,19651
2019-01-02 09:40:00.000000000,3002.6,3002.6,2997.2,2999.6,84,19651,19625
2019-01-02 09:41:00.000000000,2999.6,3001.0,2999.4,2999.4,21,19625,19615
2019-01-02 09:42:00.000000000,2999.4,3001.6,2999.4,3001.4,24,19615,19611
2019-01-02 09:43:00.000000000,3001.4,3001.4,2997.6,2998.0,40,19611,19603
2019-01-02 09:44:00.000000000,2998.0,2999.4,2993.8,2994.6,63,19603,19610
2019-01-02 09:45:00.000000000,2994.6,2994.6,2986.6,2988.8,98,19610,19606
2019-01-02 09:46:00.000000000,2988.8,2990.8,2986.4,2990.4,35,19606,19603
2019-01-02 09:47:00.000000000,2990.4,2991.2,2987.0,2987.6,35,19603,19600
2019-01-02 09:48:00.000000000,2987.6,2990.4,2986.2,2989.8,44,19600,19594
2019-01-02 09:49:00.000000000,2989.8,2996.6,2989.8,2994.0,68,19594,19574
2019-01-02 09:50:00.000000000,2994.0,2994.4,2992.6,2994.0,32,19574,19561
2019-01-02 09:51:00.000000000,2994.0,2994.0,2991.0,2991.0,57,19561,19539
2019-01-02 09:52:00.000000000,2991.0,2993.0,2990.2,2993.0,43,19539,19551
2019-01-02 09:53:00.000000000,2993.0,2994.2,2988.2,2988.2,29,19551,19556
