datetime,KQ.i@DCE.m.open,KQ.i@DCE.m.high,KQ.i@DCE.m.low,KQ.i@DCE.m.close,KQ.i@DCE.m.volume,KQ.i@DCE.m.open_oi,KQ.i@DCE.m.close_oi
2018-01-02 00:00:00.000000000,2771.493,2776.311,2762.251,2765.003,437124,2276044,2255342
2018-01-03 00:00:00.000000000,2767.644,2781.741,2766.895,2772.887,701614,2255342,2317806
2018-01-04 00:00:00.000000000,2773.75,2774.622,2761.261,2770.128,590662,2317806,2313336
2018-01-05 00:00:00.000000000,2768.136,2779.307,2750.283,2774.571,903804,2313336,2356256
2018-01-08 00:00:00.000000000,2780.373,2781.224,2765.409,2766.261,621706,2356256,2326444
2018-01-09 00:00:00.000000000,2768.513,2787.577,2767.364,2775.057,743882,2326444,2355108
2018-01-10 00:00:00.000000000,2772.877,2776.185,2763.36,2767.042,529092,2355108,2371574
2018-01-11 00:00:00.000000000,2766.243,2770.073,2744.591,2752.663,814210,2371574,2415480
2018-01-12 00:00:00.000000000,2753.222,2755.214,2723.758,2727.035,862970,2415480,2437998
2018-01-15 00:00:00.000000000,2728.588,2761.389,2717.593,2754.924,883444,2437998,2433618
2018-01-16 00:00:00.000000000,2757.61,2761.627,2745.048,2751.231,666280,2433618,2426428
2018-01-17 00:00:00.000000000,2749.792,2766.371,2749.198,2766.169,800946,2426428,2471550
2018-01-18 00:00:00.000000000,2764.411,2773.204,2754.66,2763.629,669146,2471550,2459430
2018-01-19 00:00:00.000000000,2760.562,2779.34,2758.576,2775.924,680076,2459430,2490920
2018-01-22 00:00:00.000000000,2781.483,2788.219,2771.423,2782.323,697582,2490920,2419358
2018-01-23 00:00:00.000000000,2787.004,2792.125,2773.944,2781.106,648124,2419358,2440918
2018-01-24 00:00:00.000000000,2783.705,2785.503,2755.112,2756.09,877478,2440918,2471434
2018-01-25 00:00:00.000000000,2758.733,2779.837,2756.208,2778.287,750996,2471434,2470546
2018-01-26 00:00:00.000000000,2779.918,2782.913,2755.818,2768.32,690186,2470546,2489012
2018-01-29 00:00:00.000000000,2766.798,2808.144,2758.748,2804.764,1173806,2489012,2559200
2018-01-30 00:00:00.000000000,2804.89,2808.101,2788.233,2800.19,851740,2559200,2568154
2018-01-31 00:00:00.000000000,2803.14,2816.417,2794.532,2809.036,759758,2568154,2541806
