datetime,KQ.i@CZCE.MA.open,KQ.i@CZCE.MA.high,KQ.i@CZCE.MA.low,KQ.i@CZCE.MA.close,KQ.i@CZCE.MA.volume,KQ.i@CZCE.MA.open_oi,KQ.i@CZCE.MA.close_oi
2018-01-02 09:00:00.000000000,2859.068,2894.269,2853.981,2879.513,261626,666208,637420
2018-01-02 10:00:00.000000000,2879.513,2910.209,2876.929,2905.355,176042,637420,632188
2018-01-02 11:00:00.000000000,2905.355,2937.709,2901.494,2935.001,179812,632188,660008
2018-01-02 13:00:00.000000000,2935.001,2938.681,2922.756,2927.43,90796,660008,671078
2018-01-02 14:00:00.000000000,2927.43,2931.393,2917.155,2922.805,141612,671078,682320
2018-01-02 21:00:00.000000000,2918.245,2926.692,2906.682,2911.428,187464,682320,670758
2018-01-02 22:00:00.000000000,2911.428,2922.024,2910.456,2918.117,59546,670758,671586
2018-01-02 23:00:00.000000000,2918.117,2921.102,2912.507,2914.583,25342,671586,666660
2018-01-03 09:00:00.000000000,2915.354,2919.261,2891.408,2906.871,177912,666660,648322
2018-01-03 10:00:00.000000000,2906.871,2909.481,2896.965,2903.622,54846,648322,656180
2018-01-03 11:00:00.000000000,2903.622,2905.575,2893.015,2904.598,61656,656180,655056
2018-01-03 13:00:00.000000000,2904.598,2912.968,2900.691,2906.476,80422,655056,662222
2018-01-03 14:00:00.000000000,2906.476,2915.891,2898.712,2908.249,152566,662222,676930
2018-01-03 21:00:00.000000000,2911.419,2925.317,2905.005,2911.629,216142,676930,672440
2018-01-03 22:00:00.000000000,2911.629,2916.749,2901.201,2909.005,107154,672440,666606
2018-01-03 23:00:00.000000000,2909.005,2919.566,2907.117,2915.859,68696,666606,661956
2018-01-04 09:00:00.000000000,2916.768,2935.667,2915.859,2932.827,205340,661956,661296
2018-01-04 10:00:00.000000000,2932.827,2933.874,2914.926,2914.926,83078,661296,660160
2018-01-04 11:00:00.000000000,2914.926,2919.907,2911.169,2915.152,61952,660160,661836
2018-01-04 13:00:00.000000000,2916.062,2945.266,2914.173,2937.403,167838,661836,706050
2018-01-04 14:00:00.000000000,2937.403,2941.239,2926.198,2931.051,159622,706050,709838
2018-01-04 21:00:00.000000000,2929.689,2936.336,2919.8,2934.509,158058,709838,697570
2018-01-04 22:00:00.000000000,2934.509,2935.423,2924.51,2926.614,67162,697570,687164
2018-01-04 23:00:00.000000000,2926.614,2932.374,2916.963,2927.639,69784,687164,668988
2018-01-05 09:00:00.000000000,2927.639,2943.514,2920.082,2932.819,143676,668988,659354
2018-01-05 10:00:00.000000000,2932.819,2938.719,2927.123,2928.106,55320,659354,665904
2018-01-05 11:00:00.000000000,2928.106,2932.082,2925.156,2931.168,32634,665904,668878
2018-01-05 13:00:00.000000000,2931.168,2935.032,2894.125,2901.717,204572,668878,646774
2018-01-05 14:00:00.000000000,2901.717,2927.749,2901.717,2921.924,211162,646774,680406
2018-01-05 21:00:00.000000000,2917.772,2930.08,2915.338,2921.23,135266,680406,672842
2018-01-05 22:00:00.000000000,2921.23,2925.402,2917.78,2923.655,73520,672842,673280
2018-01-05 23:00:00.000000000,2923.655,2932.317,2918.74,2928.304,70480,673280,663602
2018-01-08 09:00:00.000000000,2930.197,2990.688,2929.433,2975.83,466028,663602,732572
2018-01-08 10:00:00.000000000,2975.83,2980.108,2972.865,2973.227,71098,732572,749472
2018-01-08 11:00:00.000000000,2973.227,2979.144,2972.336,2977.484,31454,749472,756884
2018-01-08 13:00:00.000000000,2977.557,2980.577,2965.071,2970.96,103060,756884,762802
2018-01-08 14:00:00.000000000,2970.96,2995.311,2968.206,2987.469,269270,762802,817524
2018-01-08 21:00:00.000000000,2987.238,3017.096,2982.24,2988.579,215762,817524,795840
2018-01-08 22:00:00.000000000,2988.579,2990.695,2977.018,2981.739,108094,795840,793654
2018-01-08 23:00:00.000000000,2981.739,2986.601,2978.769,2979.755,34056,793654,790590
2018-01-09 09:00:00.000000000,2982.645,2986.906,2972.453,2980.226,96910,790590,779872
2018-01-09 10:00:00.000000000,2980.226,2983.252,2970.477,2972.516,55442,779872,778984
2018-01-09 11:00:00.000000000,2972.516,2981.195,2968.647,2978.313,59694,778984,776288
2018-01-09 13:00:00.000000000,2978.313,2978.317,2971.411,2972.453,34650,776288,778154
2018-01-09 14:00:00.000000000,2972.453,2982.705,2968.577,2976.222,105886,778154,779640
2018-01-09 21:00:00.000000000,2974.938,2977.964,2960.214,2968.225,182940,779640,753404
2018-01-09 22:00:00.000000000,2968.225,2986.484,2968.086,2978.77,122680,753404,766050
2018-01-09 23:00:00.000000000,2978.77,2981.519,2971.024,2974.904,45496,766050,755466
2018-01-10 09:00:00.000000000,2981.664,2990.546,2974.831,2987.022,123254,755466,765254
2018-01-10 10:00:00.000000000,2987.022,2999.813,2984.152,2991.307,109770,765254,785898
2018-01-10 11:00:00.000000000,2991.307,2992.293,2982.502,2985.341,59474,785898,783322
2018-01-10 13:00:00.000000000,2985.341,2986.685,2968.866,2969.921,91294,783322,790408
2018-01-10 14:00:00.000000000,2969.921,2978.567,2968.16,2972.033,104128,790408,790572
2018-01-10 21:00:00.000000000,2976.99,2978.824,2958.329,2966.353,203828,790572,775258
2018-01-10 22:00:00.000000000,2966.353,2972.243,2961.503,2968.459,61694,775258,775084
2018-01-10 23:00:00.000000000,2968.459,2971.301,2958.588,2959.505,35750,775084,767324
2018-01-11 09:00:00.000000000,2959.505,2963.379,2950.844,2959.042,137574,767324,759724
2018-01-11 10:00:00.000000000,2959.042,2970.19,2953.391,2967.308,81176,759724,764542
2018-01-11 11:00:00.000000000,2967.308,2970.391,2964.753,2965.669,32550,764542,769868
2018-01-11 13:00:00.000000000,2966.586,2970.667,2956.892,2967.705,60586,769868,775796
2018-01-11 14:00:00.000000000,2967.705,2978.385,2965.673,2971.752,137534,775796,794480
2018-01-11 21:00:00.000000000,2973.943,2976.901,2958.466,2963.283,151910,794480,784004
2018-01-11 22:00:00.000000000,2963.283,2967.253,2957.522,2963.31,83222,784004,783700
2018-01-11 23:00:00.000000000,2963.31,2963.391,2951.805,2957.557,84008,783700,764838
2018-01-12 09:00:00.000000000,2954.681,2960.361,2941.756,2949.564,148400,764838,748772
2018-01-12 10:00:00.000000000,2949.564,2950.049,2938.119,2948.159,92744,748772,743456
2018-01-12 11:00:00.000000000,2948.159,2950.135,2940.271,2947.177,46354,743456,744144
2018-01-12 13:00:00.000000000,2947.177,2950.298,2942.329,2946.273,43142,744144,745128
2018-01-12 14:00:00.000000000,2946.273,2954.988,2945.368,2948.272,97114,745128,741764
2018-01-12 21:00:00.000000000,2943.74,2946.6,2933.035,2939.729,105506,741764,719520
2018-01-12 22:00:00.000000000,2939.729,2942.846,2934.062,2940.695,70930,719520,718390
2018-01-12 23:00:00.000000000,2940.695,2940.695,2929.327,2931.297,48130,718390,711764
2018-01-15 09:00:00.000000000,2932.192,2959.177,2924.764,2948.523,197536,711764,704570
2018-01-15 10:00:00.000000000,2948.523,2952.185,2938.575,2940.541,55316,704570,707262
2018-01-15 11:00:00.000000000,2940.541,2943.677,2935.706,2943.677,36018,707262,710018
2018-01-15 13:00:00.000000000,2944.571,2950.752,2943.767,2947.549,46990,710018,721204
2018-01-15 14:00:00.000000000,2947.549,2948.625,2931.654,2933.638,117534,721204,734506
2018-01-15 21:00:00.000000000,2928.037,2932.016,2915.474,2919.606,153938,734506,729808
2018-01-15 22:00:00.000000000,2919.606,2924.637,2914.696,2920.596,60450,729808,726488
2018-01-15 23:00:00.000000000,2920.596,2922.586,2908.222,2913.631,38984,726488,718712
2018-01-16 09:00:00.000000000,2913.631,2923.413,2892.799,2897.545,215936,718712,725970
2018-01-16 10:00:00.000000000,2897.545,2901.483,2869.461,2870.456,213408,725970,756470
2018-01-16 11:00:00.000000000,2870.456,2876.454,2848.05,2848.331,223528,756470,796282
2018-01-16 13:00:00.000000000,2847.429,2848.237,2834.123,2841.465,227576,796282,846914
2018-01-16 14:00:00.000000000,2841.465,2843.549,2815.418,2820.459,366336,846914,882234
2018-01-16 21:00:00.000000000,2818.765,2826.68,2804.246,2822.802,165488,882234,856456
2018-01-16 22:00:00.000000000,2822.802,2829.693,2814.901,2826.771,113832,856456,846130
2018-01-16 23:00:00.000000000,2826.771,2827.669,2820.897,2822.545,31726,846130,839256
2018-01-17 09:00:00.000000000,2822.545,2837.086,2821.928,2829.588,130966,839256,806266
2018-01-17 10:00:00.000000000,2829.588,2832.472,2823.812,2825.605,33652,806266,799466
2018-01-17 11:00:00.000000000,2825.605,2836.303,2822.521,2833.607,59618,799466,793972
2018-01-17 13:00:00.000000000,2833.607,2836.163,2829.59,2829.701,40714,793972,796830
2018-01-17 14:00:00.000000000,2829.701,2831.596,2811.365,2815.24,147150,796830,806592
2018-01-17 21:00:00.000000000,2818.221,2827.279,2806.988,2811.669,182588,806592,798446
2018-01-17 22:00:00.000000000,2811.669,2814.654,2799.811,2809.561,166624,798446,813948
2018-01-17 23:00:00.000000000,2809.561,2819.453,2807.562,2814.375,74196,813948,806072
2018-01-18 09:00:00.000000000,2815.274,2826.995,2814.375,2821.128,99888,806072,808262
2018-01-18 10:00:00.000000000,2821.128,2834.494,2820.22,2824.626,86278,808262,810166
2018-01-18 11:00:00.000000000,2824.626,2825.602,2818.716,2821.629,40790,810166,813218
2018-01-18 13:00:00.000000000,2822.528,2826.594,2808.263,2813.042,99154,813218,829498
2018-01-18 14:00:00.000000000,2813.042,2818.015,2802.36,2811.323,150616,829498,832778
2018-01-18 21:00:00.000000000,2817.204,2821.195,2807.405,2809.296,145872,832778,819840
2018-01-18 22:00:00.000000000,2809.296,2811.279,2758.917,2767.14,464398,819840,838382
2018-01-18 23:00:00.000000000,2767.14,2773.001,2761.34,2766.979,83712,838382,824566
2018-01-19 09:00:00.000000000,2766.262,2779.714,2763.277,2775.92,135850,824566,816394
2018-01-19 10:00:00.000000000,2775.92,2777.9,2768.733,2774.422,69140,816394,815922
2018-01-19 11:00:00.000000000,2774.422,2778.397,2771.543,2775.54,37450,815922,815330
2018-01-19 13:00:00.000000000,2776.531,2780.222,2774.365,2777.449,43260,815330,820748
2018-01-19 14:00:00.000000000,2777.449,2806.434,2770.672,2791.496,277940,820748,825664
2018-01-19 21:00:00.000000000,2794.245,2804.751,2783.917,2785.79,147052,825664,820364
2018-01-19 22:00:00.000000000,2785.79,2812.136,2785.79,2802.284,156572,820364,803316
2018-01-19 23:00:00.000000000,2802.284,2803.274,2797.617,2797.704,37154,803316,794724
2018-01-22 09:00:00.000000000,2797.704,2815.21,2788.363,2809.445,164964,794724,788460
2018-01-22 10:00:00.000000000,2809.445,2828.172,2806.778,2819.505,114388,788460,783152
2018-01-22 11:00:00.000000000,2819.505,2820.428,2805.774,2807.565,54782,783152,790316
2018-01-22 13:00:00.000000000,2806.764,2812.461,2803.898,2808.65,40046,790316,797584
2018-01-22 14:00:00.000000000,2808.65,2813.111,2795.312,2804.073,127306,797584,804514
2018-01-22 21:00:00.000000000,2799.256,2821.422,2793.502,2820.433,154422,804514,789140
2018-01-22 22:00:00.000000000,2820.433,2820.433,2802.934,2813.455,107982,789140,783292
2018-01-22 23:00:00.000000000,2813.455,2825.109,2811.481,2820.518,85400,783292,781252
2018-01-23 09:00:00.000000000,2820.518,2822.306,2808.011,2820.707,108600,781252,763588
