datetime,KQ.i@SHFE.ni.open,KQ.i@SHFE.ni.high,KQ.i@SHFE.ni.low,KQ.i@SHFE.ni.close,KQ.i@SHFE.ni.volume,KQ.i@SHFE.ni.open_oi,KQ.i@SHFE.ni.close_oi
2018-01-02 09:00:00.000000000,98837.625,98900.867,98243.586,98787.156,134732,603316,615808
2018-01-02 09:30:00.000000000,98787.156,98813.141,98294.172,98498.422,50822,615808,617842
2018-01-02 10:00:00.000000000,98498.422,98599.094,98385.883,98438.891,10844,617842,618770
2018-01-02 10:30:00.000000000,98439.008,98531.117,98142.0,98459.023,36312,618770,615290
2018-01-02 11:00:00.000000000,98459.023,98743.844,98459.023,98697.906,32852,615290,617000
2018-01-02 13:30:00.000000000,98697.906,98759.75,98402.344,98464.453,36134,617000,614758
2018-01-02 14:00:00.000000000,98464.453,98763.648,98456.062,98689.078,33532,614758,611614
2018-01-02 14:30:00.000000000,98689.078,99405.992,98683.734,99131.789,99042,611614,618432
2018-01-02 21:00:00.000000000,99648.453,99658.844,99378.953,99489.937,76836,618432,627232
2018-01-02 21:30:00.000000000,99489.937,99934.422,99418.484,99621.867,60492,627232,629082
2018-01-02 22:00:00.000000000,99621.867,99693.508,99429.406,99640.711,26692,629082,630282
2018-01-02 22:30:00.000000000,99640.711,99692.516,99486.445,99539.172,25872,630282,629622
2018-01-02 23:00:00.000000000,99539.172,99728.914,99484.273,99653.43,24860,629622,630908
2018-01-02 23:30:00.000000000,99653.43,99943.039,99593.484,99777.859,54430,630908,644136
2018-01-03 00:00:00.000000000,99777.859,99837.586,99615.297,99638.883,17824,644136,641588
2018-01-03 00:30:00.000000000,99638.883,99718.695,99143.086,99179.711,25260,641588,631594
2018-01-03 09:00:00.000000000,99222.523,99278.953,98513.031,98714.367,96538,631594,619776
2018-01-03 09:30:00.000000000,98714.367,98960.773,98628.875,98933.352,36294,619776,616394
2018-01-03 10:00:00.000000000,98933.352,98980.391,98717.703,98767.32,14342,616394,616732
2018-01-03 10:30:00.000000000,98767.32,98791.555,98265.539,98470.18,49778,616732,615384
2018-01-03 11:00:00.000000000,98470.18,98695.102,98470.18,98556.258,30402,615384,615408
2018-01-03 13:30:00.000000000,98590.516,98906.437,98456.789,98663.227,40762,615408,614232
2018-01-03 14:00:00.000000000,98663.227,98765.992,98589.109,98641.406,23708,614232,615212
2018-01-03 14:30:00.000000000,98641.406,98916.859,98373.344,98607.414,53408,615212,609174
2018-01-03 21:00:00.000000000,98657.008,98753.883,97917.625,98382.945,82546,609174,609320
2018-01-03 21:30:00.000000000,98382.945,98436.117,98048.828,98057.414,34550,609320,608308
2018-01-03 22:00:00.000000000,98057.414,98127.164,97665.523,98007.305,79184,608308,605836
2018-01-03 22:30:00.000000000,98007.305,98087.406,97405.656,97552.844,74836,605836,608736
2018-01-03 23:00:00.000000000,97552.844,97716.164,97493.422,97520.344,31884,608736,609182
2018-01-03 23:30:00.000000000,97520.344,97768.859,97287.227,97647.297,42010,609182,611794
2018-01-04 00:00:00.000000000,97647.297,97841.875,97630.391,97710.086,13718,611794,611000
2018-01-04 00:30:00.000000000,97710.086,97888.492,97667.812,97778.0,14486,611000,606088
2018-01-04 09:00:00.000000000,97828.727,97974.711,97544.937,97544.937,51412,606088,605414
2018-01-04 09:30:00.000000000,97544.937,97926.766,97544.937,97918.312,26086,605414,605222
2018-01-04 10:00:00.000000000,97918.312,97935.219,97783.383,97783.383,11592,605222,604878
2018-01-04 10:30:00.000000000,97774.422,97922.297,97623.523,97631.977,25554,604878,603982
2018-01-04 11:00:00.000000000,97631.977,97804.055,97507.359,97569.352,31396,603982,598404
2018-01-04 13:30:00.000000000,97586.258,98872.047,97418.133,98823.273,102844,598404,605518
2018-01-04 14:00:00.000000000,98823.273,99028.992,98641.953,98935.242,76168,605518,611456
2018-01-04 14:30:00.000000000,98935.242,99192.117,98818.352,99174.695,57618,611456,611968
2018-01-04 21:00:00.000000000,99387.18,99624.664,99087.836,99130.906,97530,611968,617814
2018-01-04 21:30:00.000000000,99130.906,99462.086,99103.102,99462.086,35400,617814,622134
2018-01-04 22:00:00.000000000,99462.086,99482.656,99175.055,99334.109,28782,622134,622418
2018-01-04 22:30:00.000000000,99334.109,99359.359,98819.328,98967.789,62340,622418,621356
2018-01-04 23:00:00.000000000,98967.789,99041.906,98552.133,98806.016,68764,621356,617738
2018-01-04 23:30:00.000000000,98806.016,99025.602,98806.016,98922.789,35944,617738,618968
2018-01-05 00:00:00.000000000,98922.789,98987.914,98821.617,98900.883,12368,618968,618276
2018-01-05 00:30:00.000000000,98900.883,99148.352,98892.648,99116.016,18830,618276,615564
2018-01-05 09:00:00.000000000,99116.016,99315.187,98989.258,99063.023,42542,615564,614842
2018-01-05 09:30:00.000000000,99063.023,99210.109,98738.773,98814.555,34768,614842,610968
2018-01-05 10:00:00.000000000,98814.555,98974.133,98805.562,98926.016,9212,610968,609904
2018-01-05 10:30:00.000000000,98926.016,98948.305,98777.07,98862.828,21070,609904,608698
2018-01-05 11:00:00.000000000,98862.828,99096.852,98794.43,98927.445,27126,608698,608096
2018-01-05 13:30:00.000000000,98988.648,99115.57,98047.484,98116.867,99150,608096,604992
2018-01-05 14:00:00.000000000,98116.867,98276.664,97880.016,98047.656,60190,604992,601010
2018-01-05 14:30:00.000000000,98047.656,98568.187,98018.133,98568.148,56030,601010,598320
2018-01-05 21:00:00.000000000,98336.984,98530.836,98192.008,98303.609,49832,598320,600968
2018-01-05 21:30:00.000000000,98303.609,98689.094,98240.18,98501.445,43280,600968,603128
2018-01-05 22:00:00.000000000,98501.445,98619.555,97678.406,97989.867,84632,603128,599062
2018-01-05 22:30:00.000000000,97989.867,98178.562,97909.75,97968.703,30896,599062,597420
2018-01-05 23:00:00.000000000,97968.703,98469.359,97786.008,98443.68,54666,597420,600308
2018-01-05 23:30:00.000000000,98443.68,98452.031,98176.281,98222.477,28474,600308,601932
2018-01-06 00:00:00.000000000,98222.477,98244.102,97946.055,98160.109,22812,601932,600676
2018-01-06 00:30:00.000000000,98160.109,98326.195,98135.07,98268.5,19248,600676,596320
2018-01-08 09:00:00.000000000,98268.5,98425.656,97700.008,97964.75,65352,596320,591800
2018-01-08 09:30:00.000000000,97964.75,98235.844,97912.758,98093.5,27098,591800,592846
2018-01-08 10:00:00.000000000,98093.5,98255.602,98084.516,98103.906,10854,592846,593278
2018-01-08 10:30:00.000000000,98076.203,98144.266,97911.227,98043.539,30404,593278,587626
2018-01-08 11:00:00.000000000,98043.539,98229.977,97875.898,98042.844,22760,587626,585580
2018-01-08 13:30:00.000000000,98040.297,98082.359,97817.578,97862.906,38736,585580,583802
2018-01-08 14:00:00.000000000,97862.906,97948.016,97128.461,97778.57,96362,583802,581654
2018-01-08 14:30:00.000000000,97778.57,98564.492,97754.648,98472.672,57112,581654,576570
2018-01-08 21:00:00.000000000,98339.008,99216.906,98148.867,99098.477,117126,576570,595920
2018-01-08 21:30:00.000000000,99098.477,99106.766,98875.039,99016.352,41270,595920,599092
2018-01-08 22:00:00.000000000,99016.352,99648.961,98938.5,99543.094,57942,599092,606514
2018-01-08 22:30:00.000000000,99543.094,99680.125,99284.336,99362.859,52910,606514,611800
2018-01-08 23:00:00.000000000,99362.859,99434.453,99148.227,99172.648,28986,611800,612736
2018-01-08 23:30:00.000000000,99172.648,99339.5,99172.648,99198.148,17578,612736,613680
2018-01-09 00:00:00.000000000,99198.148,99349.437,99189.867,99295.328,8960,613680,613892
2018-01-09 00:30:00.000000000,99295.328,99345.25,99176.258,99176.258,13334,613892,609366
2018-01-09 09:00:00.000000000,99184.539,99387.711,99005.094,99062.023,46678,609366,608932
2018-01-09 09:30:00.000000000,99062.023,99198.578,98862.641,98972.609,32178,608932,606548
2018-01-09 10:00:00.000000000,98972.609,99241.937,98972.609,99228.422,12744,606548,606290
2018-01-09 10:30:00.000000000,99221.484,99466.102,99186.031,99247.031,33784,606290,610618
2018-01-09 11:00:00.000000000,99247.031,99503.219,99229.805,99304.664,27260,610618,611528
2018-01-09 13:30:00.000000000,99312.945,99331.937,99064.945,99066.922,30208,611528,609232
2018-01-09 14:00:00.000000000,99066.922,99392.305,99031.797,99227.445,35036,609232,610392
2018-01-09 14:30:00.000000000,99227.445,99469.25,99032.789,99366.445,48808,610392,605466
2018-01-09 21:00:00.000000000,99188.711,100669.227,98944.203,100583.234,186612,605466,640688
2018-01-09 21:30:00.000000000,100583.234,100878.375,100312.336,100454.008,104116,640688,643504
2018-01-09 22:00:00.000000000,100454.008,100605.82,100429.5,100538.695,37846,643504,645800
2018-01-09 22:30:00.000000000,100538.695,100657.531,100206.695,100306.703,45610,645800,643548
2018-01-09 23:00:00.000000000,100306.703,100443.805,99691.656,99882.945,70664,643548,638012
2018-01-09 23:30:00.000000000,99882.945,100017.836,99847.828,99965.195,33776,638012,639914
2018-01-10 00:00:00.000000000,99965.195,100097.945,99894.734,100036.93,20580,639914,637964
2018-01-10 00:30:00.000000000,100036.93,100110.258,99944.094,100070.023,15132,637964,634232
2018-01-10 09:00:00.000000000,100053.375,100307.82,99994.828,100277.789,46752,634232,635934
2018-01-10 09:30:00.000000000,100277.789,100355.031,100187.125,100248.812,23780,635934,635954
2018-01-10 10:00:00.000000000,100248.812,100565.953,100188.531,100557.578,27648,635954,638428
2018-01-10 10:30:00.000000000,100553.109,100827.125,100539.406,100762.531,58404,638428,649274
2018-01-10 11:00:00.000000000,100762.531,100809.984,100411.883,100695.125,47054,649274,645626
2018-01-10 13:30:00.000000000,100636.852,100636.852,100366.641,100440.172,41426,645626,644874
2018-01-10 14:00:00.000000000,100440.172,100630.203,100362.766,100534.891,28488,644874,645452
2018-01-10 14:30:00.000000000,100534.891,100551.539,100302.742,100412.375,42372,645452,636600
2018-01-10 21:00:00.000000000,101959.461,101959.461,101486.977,101673.969,119500,636600,646032
2018-01-10 21:30:00.000000000,101673.969,101682.328,101242.422,101418.969,62576,646032,649142
2018-01-10 22:00:00.000000000,101418.969,101537.164,101273.266,101378.914,29424,649142,650904
2018-01-10 22:30:00.000000000,101378.914,101445.883,101182.625,101392.445,28162,650904,652854
2018-01-10 23:00:00.000000000,101392.445,101567.836,101355.859,101472.328,31802,652854,655572
2018-01-10 23:30:00.000000000,101472.328,101472.328,101316.281,101399.305,15236,655572,657278
2018-01-11 00:00:00.000000000,101399.305,101473.437,101295.984,101295.984,12566,657278,657576
2018-01-11 00:30:00.000000000,101295.984,101461.914,101269.68,101453.555,13236,657576,654846
2018-01-11 09:00:00.000000000,101395.047,101541.445,101221.672,101364.875,36724,654846,655982
2018-01-11 09:30:00.000000000,101364.875,101414.023,101233.969,101355.781,21514,655982,656854
2018-01-11 10:00:00.000000000,101355.781,101360.984,100956.797,101020.703,40268,656854,653006
2018-01-11 10:30:00.000000000,101003.508,101162.672,100736.055,101080.18,53986,653006,645300
2018-01-11 11:00:00.000000000,101080.18,101284.039,101078.945,101216.562,28182,645300,647676
2018-01-11 13:30:00.000000000,101224.922,101266.094,100815.125,101112.086,54018,647676,646628
2018-01-11 14:00:00.000000000,101112.086,101259.023,100969.461,101024.945,29876,646628,645872
2018-01-11 14:30:00.000000000,101024.945,101408.781,101016.594,101408.766,47802,645872,643962
2018-01-11 21:00:00.000000000,101193.773,101477.422,100871.25,101072.414,73770,643962,646780
2018-01-11 21:30:00.000000000,101072.414,101174.414,100505.883,100695.336,78138,646780,644022
2018-01-11 22:00:00.000000000,100695.336,100838.68,100622.023,100648.094,33490,644022,643776
2018-01-11 22:30:00.000000000,100648.094,100818.125,100383.781,100408.609,44874,643776,642050
2018-01-11 23:00:00.000000000,100408.609,100526.266,98914.117,99235.703,170606,642050,624872
2018-01-11 23:30:00.000000000,99235.703,99394.984,98928.227,99134.625,58190,624872,621234
2018-01-12 00:00:00.000000000,99134.625,99281.492,99083.844,99217.0,34986,621234,616220
2018-01-12 00:30:00.000000000,99217.0,99448.156,99200.383,99276.672,33024,616220,607412
2018-01-12 09:00:00.000000000,99268.359,99601.391,99206.367,99432.656,59750,607412,605808
2018-01-12 09:30:00.000000000,99432.656,99579.109,99361.57,99533.266,21454,605808,606104
2018-01-12 10:00:00.000000000,99533.266,99642.062,99391.164,99435.227,14034,606104,604618
2018-01-12 10:30:00.000000000,99435.227,99492.687,99251.211,99396.328,20224,604618,604344
