datetime,KQ.i@SHFE.rb.open,KQ.i@SHFE.rb.high,KQ.i@SHFE.rb.low,KQ.i@SHFE.rb.close,KQ.i@SHFE.rb.volume,KQ.i@SHFE.rb.open_oi,KQ.i@SHFE.rb.close_oi
2017-12-29 20:00:00.000000000,3790.787,3790.787,3790.787,3790.787,0,2918746,2918746
2017-12-29 22:00:00.000000000,3790.787,3790.787,3790.787,3790.787,0,2918746,2918746
2018-01-02 08:00:00.000000000,3796.489,3820.588,3783.118,3809.648,1051722,2918746,2888926
2018-01-02 10:00:00.000000000,3809.648,3857.541,3806.068,3856.676,956830,2888926,2843016
2018-01-02 12:00:00.000000000,3857.433,3863.809,3847.844,3851.412,489306,2843016,2813094
2018-01-02 14:00:00.000000000,3851.412,3871.043,3849.575,3859.127,622474,2813094,2780146
2018-01-02 20:00:00.000000000,3844.883,3856.694,3840.202,3848.622,628272,2780146,2837922
2018-01-02 22:00:00.000000000,3848.622,3857.001,3841.897,3847.107,331620,2837922,2814356
2018-01-03 08:00:00.000000000,3847.107,3859.623,3829.962,3856.798,579302,2814356,2820740
2018-01-03 10:00:00.000000000,3856.798,3858.749,3825.704,3832.517,561082,2820740,2832502
2018-01-03 12:00:00.000000000,3829.776,3832.388,3816.493,3816.691,380652,2832502,2864636
2018-01-03 14:00:00.000000000,3816.691,3827.303,3789.875,3795.279,1188808,2864636,2801046
2018-01-03 20:00:00.000000000,3788.477,3799.98,3784.615,3793.178,591922,2801046,2898938
2018-01-03 22:00:00.000000000,3793.178,3808.49,3788.489,3798.901,527576,2898938,2890958
2018-01-04 08:00:00.000000000,3801.617,3821.09,3797.934,3821.09,521828,2890958,2915916
2018-01-04 10:00:00.000000000,3821.09,3825.147,3778.26,3784.369,1043522,2915916,2972870
2018-01-04 12:00:00.000000000,3784.478,3794.973,3777.999,3790.277,352928,2972870,2991744
2018-01-04 14:00:00.000000000,3790.277,3808.684,3775.596,3805.056,847024,2991744,2945666
2018-01-04 20:00:00.000000000,3801.152,3811.051,3786.438,3799.735,799470,2945666,3000100
2018-01-04 22:00:00.000000000,3799.735,3801.624,3790.496,3792.248,336900,3000100,2973262
2018-01-05 08:00:00.000000000,3790.392,3794.172,3773.273,3776.848,697992,2973262,3056512
2018-01-05 10:00:00.000000000,3776.848,3786.756,3772.131,3777.968,484654,3056512,3082584
2018-01-05 12:00:00.000000000,3777.998,3779.924,3748.501,3749.378,745110,3082584,3208330
2018-01-05 14:00:00.000000000,3749.378,3786.455,3748.389,3784.807,1021592,3208330,3131046
