datetime,KQ.i@SHFE.ru.open,KQ.i@SHFE.ru.high,KQ.i@SHFE.ru.low,KQ.i@SHFE.ru.close,KQ.i@SHFE.ru.volume,KQ.i@SHFE.ru.open_oi,KQ.i@SHFE.ru.close_oi
2018-01-02 09:00:00.000000000,14082.6,14340.058,14082.6,14339.582,87876,436852,439772
2018-01-02 09:15:00.000000000,14339.582,14411.58,14335.929,14372.927,73718,439772,441644
2018-01-02 09:30:00.000000000,14372.927,14390.122,14342.294,14355.567,29270,441644,442176
2018-01-02 09:45:00.000000000,14355.567,14364.699,14325.145,14350.932,21244,442176,441640
2018-01-02 10:00:00.000000000,14350.932,14379.754,14349.609,14365.395,19740,441640,442040
2018-01-02 10:30:00.000000000,14369.536,14374.63,14337.048,14346.283,10914,442040,441100
2018-01-02 10:45:00.000000000,14346.283,14365.498,14331.212,14345.065,12938,441100,440912
2018-01-02 11:00:00.000000000,14345.065,14384.876,14345.065,14384.4,16658,440912,443236
2018-01-02 11:15:00.000000000,14384.4,14389.494,14351.169,14384.505,18858,443236,442504
2018-01-02 13:30:00.000000000,14379.887,14389.494,14292.124,14300.884,35886,442504,441598
2018-01-02 13:45:00.000000000,14300.884,14320.945,14268.396,14310.967,28302,441598,439884
2018-01-02 14:00:00.000000000,14310.967,14335.81,14306.349,14321.317,12366,439884,440970
2018-01-02 14:15:00.000000000,14321.317,14344.941,14311.605,14331.296,11312,440970,442734
2018-01-02 14:30:00.000000000,14331.296,14364.898,14331.296,14350.674,17934,442734,444156
2018-01-02 14:45:00.000000000,14350.674,14354.92,14322.535,14336.389,23238,444156,439906
2018-01-02 21:00:00.000000000,14338.994,14436.812,14300.789,14358.952,45726,439906,444726
2018-01-02 21:15:00.000000000,14358.952,14383.296,14353.701,14369.143,17966,444726,447030
2018-01-02 21:30:00.000000000,14369.143,14373.316,14339.548,14359.295,15596,447030,446962
2018-01-02 21:45:00.000000000,14359.295,14363.257,14324.71,14338.994,12034,446962,446480
2018-01-02 22:00:00.000000000,14338.994,14344.799,14324.841,14339.125,8998,446480,446938
2018-01-02 22:15:00.000000000,14339.125,14348.973,14334.478,14339.81,4516,446938,447366
2018-01-02 22:30:00.000000000,14339.81,14353.751,14314.73,14343.168,9336,447366,446776
2018-01-02 22:45:00.000000000,14343.168,14353.489,14300.578,14324.972,12140,446776,443892
2018-01-03 09:00:00.000000000,14332.847,14339.14,14284.326,14329.503,29286,443892,445658
2018-01-03 09:15:00.000000000,14329.503,14343.313,14279.134,14305.371,20098,445658,446622
2018-01-03 09:30:00.000000000,14305.371,14318.496,14270.786,14308.729,14176,446622,446508
2018-01-03 09:45:00.000000000,14308.729,14329.16,14304.425,14324.855,8470,446508,446610
2018-01-03 10:00:00.000000000,14324.855,14329.029,14300.724,14304.767,4996,446610,446684
2018-01-03 10:30:00.000000000,14305.24,14305.24,14270.275,14285.244,18610,446684,447956
2018-01-03 10:45:00.000000000,14285.244,14294.538,14251.817,14269.933,18320,447956,447798
2018-01-03 11:00:00.000000000,14269.933,14293.592,14260.296,14274.923,8092,447798,447772
2018-01-03 11:15:00.000000000,14274.923,14304.175,14266.102,14285.244,11886,447772,448020
2018-01-03 13:30:00.000000000,14284.217,14318.682,14261.928,14305.213,13928,448020,449002
2018-01-03 13:45:00.000000000,14305.213,14314.034,14294.076,14299.408,9106,449002,450160
2018-01-03 14:00:00.000000000,14299.408,14363.114,14299.408,14324.816,29918,450160,451336
2018-01-03 14:15:00.000000000,14324.816,14328.99,14309.506,14319.006,8850,451336,451582
2018-01-03 14:30:00.000000000,14319.006,14334.79,14290.223,14294.054,14746,451582,451152
2018-01-03 14:45:00.000000000,14294.054,14304.506,14280.243,14294.044,20586,451152,447266
2018-01-03 21:00:00.000000000,14270.626,14270.626,14128.421,14198.435,72052,447266,452266
2018-01-03 21:15:00.000000000,14198.435,14209.213,14179.273,14189.17,15106,452266,453238
2018-01-03 21:30:00.000000000,14189.17,14193.04,14164.221,14168.89,13186,453238,455116
2018-01-03 21:45:00.000000000,14168.89,14188.049,14105.109,14119.28,24768,455116,459018
2018-01-03 22:00:00.000000000,14119.28,14134.029,14070.024,14128.883,41906,459018,465540
2018-01-03 22:15:00.000000000,14128.883,14128.883,14108.768,14122.773,9494,465540,466820
2018-01-03 22:30:00.000000000,14122.773,14127.607,14010.521,14015.346,56668,466820,475082
2018-01-03 22:45:00.000000000,14015.346,14082.969,14015.346,14072.832,29330,475082,470046
2018-01-04 09:00:00.000000000,14086.839,14171.517,14075.869,14133.024,42880,470046,468490
2018-01-04 09:15:00.000000000,14133.024,14133.024,14083.769,14097.142,17742,468490,469694
2018-01-04 09:30:00.000000000,14097.142,14107.441,14074.588,14092.629,11510,469694,471510
2018-01-04 09:45:00.000000000,14092.629,14108.232,14084.246,14107.755,9476,471510,472272
2018-01-04 10:00:00.000000000,14107.755,14108.232,14079.577,14093.609,10736,472272,474286
2018-01-04 10:30:00.000000000,14089.418,14093.756,14024.697,14093.756,28238,474286,478686
2018-01-04 10:45:00.000000000,14093.756,14099.223,14031.413,14039.953,20724,478686,481330
2018-01-04 11:00:00.000000000,14039.953,14069.03,14006.081,14055.016,39938,481330,485010
2018-01-04 11:15:00.000000000,14055.016,14078.846,13996.579,14024.122,36466,485010,488574
2018-01-04 13:30:00.000000000,14020.894,14119.247,14011.392,14105.24,38180,488574,486156
2018-01-04 13:45:00.000000000,14105.24,14124.098,14084.5,14089.646,23344,486156,486246
2018-01-04 14:00:00.000000000,14089.646,14108.388,14070.387,14103.719,15216,486246,487010
2018-01-04 14:15:00.000000000,14103.719,14108.708,14074.571,14088.435,11104,487010,488022
2018-01-04 14:30:00.000000000,14088.435,14098.892,14069.274,14094.7,10854,488022,487370
